state,stay,flap
245,0.00000000,0.00000000
246,0.00000000,0.00000000
247,0.00000000,0.00000000
248,0.00000000,0.00000000
249,0.00000000,0.00000000
250,0.00000000,0.00000000
251,0.00000000,0.00000000
252,0.00000000,0.00000000
253,0.00000000,0.00000000
254,0.00000000,0.00000000
255,0.00000000,0.00000000
256,0.00000000,0.00000000
257,0.00000000,0.00000000
258,0.00000000,0.00000000
259,0.00000000,0.00000000
260,0.00000000,0.00000000
261,0.00000000,0.00000000
262,0.00000000,0.00000000
263,0.00000000,0.00000000
264,0.00000000,0.00000000
265,0.00000000,0.00000000
266,0.00000000,0.00000000
267,0.00000000,0.00000000
268,0.00000000,0.00000000
269,0.00000000,0.00000000
270,0.00000000,0.00000000
271,0.00000000,0.00000000
272,0.00000000,0.00000000
273,0.00000000,0.00000000
274,0.00000000,0.00000000
275,0.00000000,0.00000000
276,0.10699749,0.00000000
277,0.00000000,0.00000000
278,0.00000000,0.00000000
279,0.00000000,0.00000000
280,0.00000000,0.00000000
281,0.00000000,0.00000000
282,0.00000000,0.00000000
283,0.00000000,0.00000000
284,0.05248169,0.00000000
285,0.13991404,0.00000000
286,0.08575734,0.00000000
287,0.08749684,0.00000000
288,1.62467989,0.00000000
289,0.70775945,0.00000000
290,0.12003893,0.00000000
291,0.00000000,0.00000000
292,0.00000000,0.00000000
293,5.91007247,0.00000000
294,0.00000000,0.00000000
295,0.00000000,0.00000000
296,0.00000000,0.00000000
297,0.11634723,0.00000000
298,0.04006567,0.00000000
299,0.04326857,0.00000000
300,0.03509077,0.00000000
301,0.02898010,0.00000000
302,0.69476934,0.00000000
303,1.87020153,0.00000000
304,0.14286738,0.00000000
305,0.07540212,0.00000000
306,0.00000000,0.00000000
307,7.65657452,0.00000000
308,0.00000000,0.00000000
309,0.00000000,0.00000000
310,0.00000000,0.00000000
311,0.00000000,0.00000000
312,0.00000000,0.00000000
313,0.00000000,0.00000000
314,0.00000000,0.00000000
315,0.00000000,0.00000000
316,0.00000000,0.00000000
317,0.00000000,0.00000000
318,0.00000000,0.11192251
319,0.00000000,0.00000000
320,0.00000000,0.00000000
321,0.00000000,0.00000000
322,0.00000000,0.00000000
323,0.00000000,0.00000000
324,0.00000000,0.00000000
325,0.00000000,0.00000000
326,0.00000000,0.00000000
327,0.00000000,0.00000000
328,0.00000000,0.00000000
329,0.00000000,0.00000000
330,0.00000000,0.00000000
331,0.00000000,0.00000000
332,0.03544536,0.00000000
333,0.00000000,0.00000000
334,0.00000000,0.00000000
335,0.00000000,0.00000000
336,0.00000000,0.00000000
337,0.00000000,0.00000000
338,-16.00000000,0.00000000
339,-15.97862270,0.10603648
340,-16.00000000,0.33312167
341,-15.95256446,1.71279761
342,0.03998294,0.00000000
343,0.00000000,1.79902871
344,0.03633374,0.00000000
345,-16.00000000,1.68635874
346,-16.00000000,0.00000000
347,0.00000000,0.11265693
348,0.00000000,0.00000000
349,-15.95267028,0.63923995
350,0.00000000,0.00000000
351,0.00000000,0.00000000
352,-16.00000000,0.00000000
353,-15.96571303,0.98563314
354,0.10374244,0.00000000
355,-16.00000000,0.48875744
356,-15.83753963,0.89536729
357,-15.88941405,0.19440162
358,0.00000000,0.00000000
359,0.03195054,0.00000000
360,-15.83418146,0.00000000
361,0.14057734,0.00000000
362,-16.00000000,0.15941437
363,0.84251915,0.00000000
364,0.00000000,0.00000000
365,0.00000000,0.00000000
366,-15.92585939,0.13668200
367,-16.00000000,0.66065936
368,0.27494505,0.00000000
369,-15.96097183,0.98891448
370,-15.90029439,2.98597318
371,-15.95307366,0.27336463
372,-15.93890675,2.07418369
373,6.38111840,2.15581119
374,0.00000000,0.00000000
375,-15.89238030,0.00000000
376,0.04979501,0.00000000
377,1.08042253,10.72478179
378,0.00000000,0.00000000
379,0.00000000,0.00000000
380,0.00000000,0.00000000
381,0.27730548,0.00000000
382,0.13102291,0.00000000
383,0.20441092,0.00000000
384,0.05576582,0.00000000
385,0.00000000,0.00000000
386,0.34174484,0.00000000
387,5.02198735,0.35459207
388,0.00000000,0.00000000
389,0.00000000,0.00000000
390,0.18950247,0.00000000
391,4.31059605,0.00000000
392,0.00000000,0.00000000
393,0.00000000,0.00000000
394,0.00000000,0.00000000
395,0.06188965,0.00000000
396,0.00000000,0.00000000
397,0.00000000,0.00000000
398,0.13630886,0.00000000
399,0.00000000,0.00000000
400,0.06111426,0.00000000
401,0.13173746,0.09206109
402,0.00000000,0.00000000
403,0.00000000,0.00000000
404,0.08255545,0.00000000
405,1.27460560,0.00000000
406,0.00000000,0.00000000
407,0.00000000,0.00000000
408,0.00000000,0.00000000
409,0.00000000,0.00000000
410,0.00000000,0.00000000
411,0.00000000,0.00000000
412,0.00000000,0.00000000
413,0.00000000,0.00000000
414,0.00000000,0.00000000
415,0.00000000,0.00000000
416,0.00000000,0.00000000
417,0.00000000,0.00000000
418,0.00000000,0.00000000
419,0.00000000,0.00000000
420,0.00000000,0.00000000
421,0.00000000,0.00000000
422,0.00000000,0.00000000
423,0.00000000,0.00000000
424,0.00000000,0.00000000
425,0.00000000,0.00000000
426,0.00000000,0.00000000
427,0.00000000,0.00000000
428,0.00000000,0.00000000
429,0.05480347,0.07099546
430,0.05275547,0.00000000
431,0.00000000,0.00000000
432,0.00000000,0.00000000
433,0.00000000,0.00000000
434,0.00000000,0.00000000
435,0.00000000,0.00000000
436,0.00000000,0.00000000
437,0.00000000,0.00000000
438,0.00000000,0.00000000
439,0.00000000,0.00000000
440,0.00000000,0.00000000
441,0.00000000,0.00000000
442,0.92028300,0.00000000
443,0.78274583,0.00000000
444,0.23037906,0.00000000
445,0.00000000,0.00000000
446,0.00000000,0.00000000
447,0.00000000,0.00000000
448,0.00000000,0.00000000
449,0.00000000,0.00000000
450,0.00000000,0.00000000
451,0.82304833,0.00000000
452,0.81694685,0.00000000
453,0.00000000,2.29022052
454,0.43510559,0.00000000
455,0.00000000,0.06731611
456,4.12633237,0.16058247
457,9.34422841,0.00000000
458,0.32902495,0.00000000
459,0.06030603,0.07649803
460,0.00000000,0.00000000
461,0.71661550,10.94184312
462,0.00000000,0.00000000
463,0.00000000,0.00000000
464,0.00000000,0.00000000
465,0.73040272,0.00000000
466,0.80172965,0.00000000
467,1.87192258,0.00000000
468,0.21809096,0.00000000
469,0.08082012,0.00000000
470,6.02681729,0.85146866
471,8.52741773,0.00000000
472,0.00000000,0.00000000
473,0.10863732,0.00000000
474,0.00000000,0.00000000
475,11.70722533,3.61664747
476,0.00000000,0.00000000
477,0.00000000,0.00000000
478,0.00000000,0.00000000
479,0.00000000,0.00000000
480,0.00000000,0.00000000
481,0.00000000,0.00000000
482,0.00000000,0.00000000
483,0.00000000,0.00000000
484,0.00000000,0.00000000
485,0.00000000,0.00000000
486,0.00000000,0.00000000
487,0.00000000,0.00000000
488,0.00000000,0.00000000
489,0.00000000,0.00000000
490,0.00000000,0.00000000
491,0.00000000,0.00000000
492,0.00000000,0.00000000
493,0.00000000,0.00000000
494,0.00000000,0.00000000
495,0.00000000,0.00000000
496,0.00000000,0.00000000
497,0.00000000,0.00000000
498,0.00000000,0.00000000
499,0.00000000,0.00000000
500,0.11503164,0.15714237
501,0.00000000,0.00000000
502,0.00000000,0.00000000
503,0.00000000,0.00000000
504,0.00000000,0.00000000
505,0.00000000,0.00000000
506,0.00000000,0.00000000
507,-15.90889570,7.34968421
508,-10.29736655,8.78903545
509,0.81470464,0.00000000
510,-16.00000000,12.70330243
511,-10.92526357,13.37790167
512,-15.94518014,11.34138752
513,0.80273073,0.00000000
514,-16.00000000,0.00000000
515,-15.95368210,0.15778040
516,0.06660831,0.00000000
517,-29.38821340,4.26230154
518,0.00000000,0.00000000
519,0.00000000,0.00000000
520,0.19343687,0.00000000
521,-15.31291770,12.29084038
522,-10.01146514,7.80795691
523,-15.09736314,2.47147389
524,-15.70341637,4.34701807
525,-15.83856498,2.10903761
526,0.00000000,12.26035225
527,-28.91910095,9.50373556
528,0.00000000,0.18571467
529,-15.78916182,0.00000000
530,0.05774788,0.00000000
531,-15.73703398,12.94691927
532,0.00000000,0.00000000
533,0.00000000,0.00000000
534,-13.12108730,-29.35593427
535,-15.29216696,4.74589928
536,-15.52413949,11.37225121
537,-15.70554196,10.63161518
538,-28.50611398,13.21777460
539,-15.44143077,5.92756042
540,-15.88297054,10.37739795
541,-15.87139382,13.81079221
542,-15.71763080,1.49707600
543,0.15614844,0.79985781
544,0.29710822,0.00000000
545,7.37023328,0.20715909
546,0.00000000,0.00000000
547,0.00000000,0.00000000
548,0.14792901,0.00000000
549,0.53798343,0.00000000
550,0.56033325,0.00000000
551,-9.19928049,4.53430492
552,6.50805700,0.00000000
553,0.00000000,0.00000000
554,-15.89749415,5.89993808
555,8.71898805,4.76647811
556,0.00000000,0.00000000
557,0.33483248,0.00000000
558,0.20696506,1.11304044
559,3.96302115,0.69256176
560,0.00000000,0.00000000
561,0.00000000,0.00000000
562,0.00000000,0.00000000
563,0.58523921,0.00000000
564,0.09708966,0.00000000
565,0.19825046,0.00000000
566,0.22443200,0.00000000
567,0.00000000,0.00000000
568,0.38070547,14.81157470
569,5.63363974,0.00000000
570,0.00000000,0.00000000
571,0.00000000,0.00000000
572,1.35521528,0.11487827
573,2.89302489,0.00000000
574,0.00000000,0.00000000
575,0.00000000,0.00000000
576,0.00000000,0.00000000
577,0.00000000,0.00000000
578,0.10316967,0.00000000
579,0.00000000,0.00000000
580,0.18487165,0.00000000
581,0.00000000,0.00000000
582,7.59493556,0.00000000
583,0.93434693,0.00000000
584,0.00000000,0.00000000
585,0.00000000,0.00000000
586,0.49042181,0.00000000
587,1.60385481,0.00000000
588,0.00000000,0.00000000
589,0.00000000,0.00000000
590,0.00000000,0.00000000
591,0.00000000,0.00000000
592,0.00000000,0.00000000
593,0.00000000,0.00000000
594,0.11029078,0.00000000
595,0.00000000,0.00000000
596,2.44719314,0.00000000
597,1.13313181,0.00000000
598,0.00000000,0.00000000
599,0.00000000,0.00000000
600,0.00000000,0.00000000
601,0.77004714,0.00000000
602,0.00000000,0.00000000
603,0.00000000,0.00000000
604,0.00000000,0.00000000
605,0.75582056,0.00000000
606,0.76062020,0.00000000
607,0.00000000,0.00000000
608,0.62569025,0.00000000
609,0.00000000,0.00000000
610,5.21816592,0.00000000
611,9.06073433,0.00000000
612,0.32198270,0.00000000
613,0.00000000,0.00000000
614,0.00000000,0.00000000
615,2.37410538,0.00000000
616,0.00000000,0.00000000
617,0.00000000,0.00000000
618,0.49318389,0.00000000
619,2.75500434,0.00000000
